index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
48,ghsl_9558_cell_00048,Residential,Civic,0.8864,0.0162,0.8701,Civicx1
64,ghsl_9558_cell_00064,Civic,Residential,0.8864,0.0162,0.8701,Residentialx1
94,ghsl_9558_cell_00094,Green,Residential,0.8864,0.0162,0.8701,Residentialx1
122,ghsl_9558_cell_00122,Civic,Residential,0.8864,0.0162,0.8701,Residentialx2
123,ghsl_9558_cell_00123,Civic,Residential,0.8864,0.0162,0.8701,Residentialx2
183,ghsl_9558_cell_00183,Industrial,Residential,0.8864,0.0162,0.8701,Residentialx4
296,ghsl_9558_cell_00296,Commercial,Industrial,0.8864,0.0162,0.8701,Industrialx4
492,ghsl_9558_cell_00492,Industrial,Residential,0.8864,0.0162,0.8701,Residentialx4
497,ghsl_9558_cell_00497,Civic,Residential,0.8864,0.0162,0.8701,Residentialx4
551,ghsl_9558_cell_00551,Office,Residential,0.8864,0.0162,0.8701,Residentialx4
874,ghsl_9558_cell_00874,Civic,Residential,0.8864,0.0162,0.8701,Residentialx4
912,ghsl_9558_cell_00912,Utility,Residential,0.8864,0.0162,0.8701,Residentialx1
973,ghsl_9558_cell_00973,Residential,Industrial,0.8864,0.0162,0.8701,Industrialx2
67,ghsl_9558_cell_00067,Green,Residential,0.8574,0.0204,0.837,Residentialx4
368,ghsl_9558_cell_00368,Civic,Residential,0.8574,0.0204,0.837,Residentialx4
520,ghsl_9558_cell_00520,Industrial,Residential,0.8574,0.0204,0.837,Residentialx4
602,ghsl_9558_cell_00602,Industrial,Residential,0.8574,0.0204,0.837,Residentialx4
736,ghsl_9558_cell_00736,Residential,Civic,0.8574,0.0204,0.837,Civicx4
840,ghsl_9558_cell_00840,Commercial,Residential,0.8574,0.0204,0.837,Residentialx4
906,ghsl_9558_cell_00906,Civic,Residential,0.8574,0.0204,0.837,Residentialx4
925,ghsl_9558_cell_00925,Industrial,Residential,0.8574,0.0204,0.837,Residentialx4
219,ghsl_9558_cell_00219,Civic,Residential,0.8284,0.0245,0.8039,Residentialx4
436,ghsl_9558_cell_00436,Industrial,Residential,0.8284,0.0245,0.8039,Residentialx4
461,ghsl_9558_cell_00461,Commercial,Residential,0.8284,0.0245,0.8039,Residentialx4
478,ghsl_9558_cell_00478,Civic,Residential,0.8284,0.0245,0.8039,Residentialx4
