index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
145,ghsl_7599_cell_00145,Utility,Residential,0.9671,0.0016,0.9655,Residentialx2
618,ghsl_7599_cell_00618,Green,Residential,0.9643,0.0033,0.961,Residentialx2
502,ghsl_7599_cell_00502,Civic,Residential,0.9672,0.0104,0.9568,Residentialx4
193,ghsl_7599_cell_00193,Civic,Residential,0.967,0.0104,0.9566,Residentialx3
66,ghsl_7599_cell_00066,Civic,Residential,0.9663,0.0106,0.9557,Residentialx4
736,ghsl_7599_cell_00736,Civic,Residential,0.9621,0.0112,0.9509,Residentialx2
429,ghsl_7599_cell_00429,Office,Residential,0.9461,0.0009,0.9452,Residentialx4
233,ghsl_7599_cell_00233,Civic,Residential,0.9578,0.0135,0.9443,Residentialx4
132,ghsl_7599_cell_00132,Industrial,Residential,0.9573,0.0131,0.9442,Residentialx4
372,ghsl_7599_cell_00372,Utility,Residential,0.9462,0.0026,0.9435,Residentialx4
109,ghsl_7599_cell_00109,Green,Residential,0.9478,0.0048,0.943,Residentialx3
256,ghsl_7599_cell_00256,Industrial,Residential,0.9514,0.0149,0.9365,Residentialx3
720,ghsl_7599_cell_00720,Commercial,Residential,0.946,0.0101,0.9359,Residentialx3
568,ghsl_7599_cell_00568,Commercial,Residential,0.9448,0.0103,0.9345,Residentialx3
168,ghsl_7599_cell_00168,Industrial,Residential,0.9494,0.0152,0.9342,Residentialx3
179,ghsl_7599_cell_00179,Industrial,Residential,0.9478,0.0161,0.9316,Residentialx4
216,ghsl_7599_cell_00216,Civic,Residential,0.9479,0.0166,0.9312,Residentialx4
491,ghsl_7599_cell_00491,Industrial,Residential,0.9472,0.0162,0.9311,Residentialx4
476,ghsl_7599_cell_00476,Commercial,Residential,0.9375,0.0115,0.926,Residentialx4
607,ghsl_7599_cell_00607,Civic,Residential,0.9425,0.0176,0.925,Residentialx4
251,ghsl_7599_cell_00251,Civic,Residential,0.9376,0.0199,0.9177,Residentialx4
575,ghsl_7599_cell_00575,Industrial,Residential,0.9364,0.0194,0.9171,Residentialx4
685,ghsl_7599_cell_00685,Civic,Residential,0.9354,0.0203,0.9151,Residentialx4
30,ghsl_7599_cell_00030,Civic,Residential,0.9348,0.0206,0.9143,Residentialx3
77,ghsl_7599_cell_00077,Industrial,Residential,0.9339,0.02,0.9139,Residentialx3
504,ghsl_7599_cell_00504,Commercial,Residential,0.9258,0.0135,0.9122,Residentialx4
95,ghsl_7599_cell_00095,Industrial,Residential,0.9312,0.0206,0.9106,Residentialx2
577,ghsl_7599_cell_00577,Civic,Residential,0.9251,0.0239,0.9012,Residentialx4
401,ghsl_7599_cell_00401,Civic,Residential,0.9245,0.024,0.9005,Residentialx4
543,ghsl_7599_cell_00543,Industrial,Residential,0.9236,0.0232,0.9003,Residentialx4
737,ghsl_7599_cell_00737,Residential,Civic,0.9285,0.0299,0.8985,Civicx2
666,ghsl_7599_cell_00666,Residential,Industrial,0.9289,0.0305,0.8983,Industrialx2
173,ghsl_7599_cell_00173,Industrial,Residential,0.9146,0.0263,0.8884,Residentialx4
89,ghsl_7599_cell_00089,Industrial,Residential,0.9138,0.0264,0.8874,Residentialx4
385,ghsl_7599_cell_00385,Utility,Residential,0.8913,0.0041,0.8872,"Residentialx3, Industrialx1"
182,ghsl_7599_cell_00182,Civic,Residential,0.9134,0.0273,0.8861,Residentialx4
314,ghsl_7599_cell_00314,Industrial,Residential,0.9103,0.0254,0.8848,"Residentialx3, Utilityx1"
609,ghsl_7599_cell_00609,Civic,Residential,0.9123,0.0275,0.8848,Residentialx4
562,ghsl_7599_cell_00562,Utility,Residential,0.889,0.0056,0.8834,Residentialx4
735,ghsl_7599_cell_00735,Civic,Residential,0.9099,0.027,0.8829,Residentialx3
37,ghsl_7599_cell_00037,Industrial,Residential,0.9038,0.0295,0.8743,Residentialx4
581,ghsl_7599_cell_00581,Civic,Residential,0.899,0.0275,0.8715,"Residentialx3, Greenx1"
288,ghsl_7599_cell_00288,Industrial,Residential,0.9008,0.0303,0.8705,Residentialx2
460,ghsl_7599_cell_00460,Commercial,Residential,0.8877,0.0189,0.8688,"Residentialx3, Utilityx1"
328,ghsl_7599_cell_00328,Industrial,Residential,0.8981,0.0301,0.868,Residentialx4
586,ghsl_7599_cell_00586,Green,Civic,0.8722,0.0098,0.8624,Civicx2
21,ghsl_7599_cell_00021,Utility,Residential,0.8663,0.0064,0.8598,"Residentialx3, Officex1"
301,ghsl_7599_cell_00301,Industrial,Residential,0.8882,0.0331,0.8551,Residentialx3
386,ghsl_7599_cell_00386,Industrial,Residential,0.8873,0.0324,0.8549,"Residentialx3, Utilityx1"
520,ghsl_7599_cell_00520,Commercial,Residential,0.8943,0.0399,0.8544,"Residentialx3, Commercialx1"
612,ghsl_7599_cell_00612,Industrial,Residential,0.8837,0.0329,0.8508,"Residentialx3, Utilityx1"
432,ghsl_7599_cell_00432,Green,Residential,0.8619,0.0126,0.8493,Residentialx2
14,ghsl_7599_cell_00014,Agricultural,Residential,0.861,0.016,0.845,"Residentialx3, Agriculturalx1"
613,ghsl_7599_cell_00613,Utility,Residential,0.8386,0.0062,0.8324,"Residentialx3, Industrialx1"
651,ghsl_7599_cell_00651,Industrial,Residential,0.8659,0.0342,0.8317,"Residentialx2, Utilityx1"
472,ghsl_7599_cell_00472,Office,Residential,0.8335,0.0026,0.8309,"Residentialx3, Utilityx1"
281,ghsl_7599_cell_00281,Green,Residential,0.8558,0.0251,0.8308,"Residentialx3, Greenx1"
50,ghsl_7599_cell_00050,Civic,Residential,0.8663,0.0407,0.8257,"Residentialx3, Officex1"
616,ghsl_7599_cell_00616,Industrial,Residential,0.8449,0.0302,0.8147,"Residentialx3, Civicx1"
249,ghsl_7599_cell_00249,Industrial,Residential,0.8783,0.0665,0.8118,"Residentialx3, Industrialx1"
622,ghsl_7599_cell_00622,Utility,Civic,0.824,0.0151,0.8088,"Civicx3, Utilityx1"
705,ghsl_7599_cell_00705,Utility,Residential,0.8133,0.0062,0.8071,"Residentialx2, Civicx1"
254,ghsl_7599_cell_00254,Utility,Residential,0.8121,0.0068,0.8053,"Residentialx3, Commercialx1"
391,ghsl_7599_cell_00391,Industrial,Residential,0.8419,0.0395,0.8024,"Residentialx3, Greenx1"
425,ghsl_7599_cell_00425,Civic,Residential,0.8408,0.0389,0.8018,"Residentialx3, Commercialx1"
289,ghsl_7599_cell_00289,Utility,Residential,0.8274,0.0285,0.7989,"Residentialx2, Utilityx1"
4,ghsl_7599_cell_00004,Industrial,Residential,0.8448,0.0473,0.7975,Residentialx2
596,ghsl_7599_cell_00596,Commercial,Residential,0.8184,0.0218,0.7966,"Residentialx3, Civicx1"
297,ghsl_7599_cell_00297,Office,Residential,0.7867,0.0022,0.7845,"Residentialx3, Industrialx1"
348,ghsl_7599_cell_00348,Industrial,Residential,0.8181,0.036,0.7821,"Residentialx3, Civicx1"
338,ghsl_7599_cell_00338,Industrial,Residential,0.8243,0.0459,0.7784,"Residentialx2, Utilityx1"
